RANKING,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM,RENDA,LONGEVIDADE,EDUCACAO
5370,270260,FEIRA GRANDE,AL,0.533,0.512,0.736,0.402
4941,270270,FELIZ DESERTO,AL,0.565,0.55,0.708,0.462
5416,270280,FLEXEIRAS,AL,0.527,0.528,0.693,0.4
5354,270290,GIRAU DO PONCIANO,AL,0.536,0.498,0.762,0.405
5467,270300,IBATEGUARA,AL,0.518,0.517,0.684,0.393
4965,270310,IGACI,AL,0.564,0.547,0.774,0.424
4884,270320,IGREJA NOVA,AL,0.568,0.556,0.771,0.428
5550,270330,INHAPI,AL,0.484,0.501,0.718,0.316
4562,270340,JACARÉ DOS HOMENS,AL,0.583,0.543,0.759,0.481
5225,270350,JACUÍPE,AL,0.548,0.532,0.755,0.41
4841,270360,JAPARATINGA,AL,0.57,0.56,0.735,0.451
5169,270370,JARAMATAIA,AL,0.552,0.532,0.701,0.451
5116,270375,JEQUIÁ DA PRAIA,AL,0.556,0.517,0.772,0.43
5390,270380,JOAQUIM GOMES,AL,0.531,0.509,0.764,0.386
5002,270390,JUNDIÁ,AL,0.562,0.573,0.715,0.434
4742,270400,JUNQUEIRO,AL,0.575,0.586,0.714,0.454
5169,270410,LAGOA DA CANOA,AL,0.552,0.541,0.703,0.443
4638,270420,LIMOEIRO DE ANADIA,AL,0.58,0.575,0.742,0.457
1266,270430,MACEIÓ,AL,0.721,0.739,0.799,0.635
4921,270440,MAJOR ISIDORO,AL,0.566,0.566,0.755,0.424
4695,270490,MAR VERMELHO,AL,0.577,0.54,0.766,0.465
4764,270450,MARAGOGI,AL,0.574,0.556,0.766,0.443
4869,270460,MARAVILHA,AL,0.569,0.539,0.742,0.46
3254,270470,MARECHAL DEODORO,AL,0.642,0.641,0.793,0.52
4215,270480,MARIBONDO,AL,0.597,0.581,0.751,0.487
5518,270500,MATA GRANDE,AL,0.504,0.506,0.685,0.369
4540,270510,MATRIZ DE CAMARAGIBE,AL,0.584,0.541,0.777,0.473
4884,270520,MESSIAS,AL,0.568,0.557,0.714,0.46
4984,270530,MINADOR DO NEGRÃO,AL,0.563,0.541,0.767,0.43
5332,270540,MONTEIRÓPOLIS,AL,0.539,0.497,0.71,0.443
5416,270550,MURICI,AL,0.527,0.542,0.685,0.395
5453,270560,NOVO LINO,AL,0.521,0.546,0.69,0.375
4941,270570,OLHO D'ÁGUA DAS FLORES,AL,0.565,0.568,0.752,0.422
5432,270580,OLHO D'ÁGUA DO CASADO,AL,0.525,0.527,0.785,0.35
5520,270590,OLHO D'ÁGUA GRANDE,AL,0.503,0.473,0.673,0.399
5539,270600,OLIVENÇA,AL,0.493,0.513,0.677,0.345
5244,270610,OURO BRANCO,AL,0.547,0.538,0.7,0.434
5081,270620,PALESTINA,AL,0.558,0.505,0.735,0.467
3333,270630,PALMEIRA DOS ÍNDIOS,AL,0.638,0.625,0.794,0.523
4309,270640,PÃO DE AÇÚCAR,AL,0.593,0.536,0.793,0.491
5225,270642,PARICONHA,AL,0.548,0.526,0.754,0.416
4029,270644,PARIPUEIRA,AL,0.605,0.595,0.767,0.486
5370,270650,PASSO DE CAMARAGIBE,AL,0.533,0.513,0.703,0.421
4416,270660,PAULO JACINTO,AL,0.589,0.551,0.732,0.507
3487,270670,PENEDO,AL,0.63,0.602,0.774,0.536
